                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4549,                 3.5424,                 2.0628,                0.25846,                0.31936,                0.21202,                 0.0793,                 2.4011,                 4.0189,                 2.0897,             0.00046472,             0.00046472,             0.00046472
                      2,                 2.3013,                 2.5409,                 1.9868,                 0.1703,                0.28217,                0.11819,                0.04361,                 2.5586,                 6.0633,                  2.344,              0.0009294,              0.0009294,              0.0009294
                      3,                 2.3255,                 2.3719,                 1.9641,                0.17672,                0.18226,                 0.0889,                0.02345,                 2.8421,                 4.5275,                 2.4415,              0.0013823,              0.0013823,              0.0013823
                      4,                 2.3091,                 2.3499,                 1.9649,                 0.3757,                0.25138,                0.19315,                0.06057,                 2.4615,                 4.1019,                  2.215,              0.0013759,              0.0013759,              0.0013759
                      5,                 2.3517,                 2.3241,                 1.9848,                0.22269,                0.27088,                0.16268,                0.05336,                 2.4516,                 3.2247,                 2.1994,              0.0013759,              0.0013759,              0.0013759
                      6,                 2.3093,                 2.2952,                 2.0188,                0.19182,                0.17497,                0.15253,                0.05488,                  2.479,                 3.6248,                 2.1991,              0.0013583,              0.0013583,              0.0013583
                      7,                 2.2719,                  2.327,                 1.9831,                0.38684,                0.37191,                0.29451,                0.10713,                 2.3437,                 2.5242,                 2.0709,              0.0013406,              0.0013406,              0.0013406
                      8,                 2.2571,                   2.21,                 1.9153,                0.41978,                0.34228,                0.33377,                0.12236,                 2.3461,                 2.2835,                 2.0374,              0.0013229,              0.0013229,              0.0013229
                      9,                 2.2185,                 2.1814,                 1.9217,                0.41029,                0.39402,                0.34861,                0.12326,                 2.3205,                 2.2902,                 2.0504,              0.0013052,              0.0013052,              0.0013052
                     10,                 2.2012,                 2.1274,                  1.896,                0.35483,                0.35352,                0.25826,                0.09385,                 2.3976,                 2.7641,                  2.082,              0.0012875,              0.0012875,              0.0012875
